position,base_trial,incident_start,incident_end
0,0,2024-03-01,2024-08-01
1,1,2023-02-01,2023-07-01
2,2,2022-07-01,2022-12-01
3,3,2021-04-01,2021-09-01
4,4,2021-07-01,2021-12-01
5,5,2020-03-01,2020-08-01
6,6,2020-05-01,2020-10-01
7,7,2020-01-01,2020-06-01
8,8,2020-11-01,2021-04-01
9,9,2023-12-01,2024-05-01
10,10,2023-03-01,2023-08-01
11,11,2024-06-01,2024-11-01
12,12,2022-06-01,2022-11-01
13,13,2022-12-01,2023-05-01
14,14,2024-10-01,2025-03-01
15,15,2023-08-01,2024-01-01
16,16,2023-02-01,2023-07-01
17,17,2022-09-01,2023-02-01
18,18,2022-10-01,2023-03-01
19,19,2024-08-01,2025-01-01
20,20,2021-05-01,2021-10-01
21,21,2024-01-01,2024-06-01
22,22,2023-04-01,2023-09-01
23,23,2020-01-01,2020-06-01
24,24,2021-12-01,2022-05-01
25,25,2024-03-01,2024-08-01
26,26,2022-09-01,2023-02-01
27,27,2020-02-01,2020-07-01
28,28,2023-10-01,2024-03-01
29,29,2023-08-01,2024-01-01
30,30,2024-02-01,2024-07-01
31,31,2020-11-01,2021-04-01
32,32,2020-06-01,2020-11-01
33,33,2024-03-01,2024-08-01
34,34,2020-02-01,2020-07-01
35,35,2022-08-01,2023-01-01
36,36,2020-05-01,2020-10-01
37,37,2021-06-01,2021-11-01
38,38,2022-05-01,2022-10-01
39,39,2022-01-01,2022-06-01
40,40,2021-12-01,2022-05-01
41,41,2020-02-01,2020-07-01
42,42,2020-01-01,2020-06-01
43,43,2020-08-01,2021-01-01
44,44,2020-01-01,2020-06-01
45,45,2023-04-01,2023-09-01
46,46,2022-08-01,2023-01-01
47,47,2023-03-01,2023-08-01
48,48,2021-04-01,2021-09-01
49,49,2023-01-01,2023-06-01
50,50,2023-10-01,2024-03-01
51,51,2021-11-01,2022-04-01
52,52,2022-04-01,2022-09-01
53,53,2024-11-01,2025-04-01
54,54,2023-12-01,2024-05-01
55,55,2024-10-01,2025-03-01
56,56,2021-11-01,2022-04-01
57,57,2023-05-01,2023-10-01
58,58,2024-09-01,2025-02-01
59,59,2023-03-01,2023-08-01
60,60,2024-02-01,2024-07-01
61,61,2023-05-01,2023-10-01
62,62,2023-06-01,2023-11-01
63,63,2021-11-01,2022-04-01
64,64,2024-04-01,2024-09-01
65,65,2020-08-01,2021-01-01
66,66,2022-11-01,2023-04-01
67,67,2023-07-01,2023-12-01
68,68,2024-02-01,2024-07-01
69,69,2022-07-01,2022-12-01
70,70,2021-11-01,2022-04-01
71,71,2021-07-01,2021-12-01
72,72,2022-01-01,2022-06-01
73,73,2022-05-01,2022-10-01
74,74,2023-07-01,2023-12-01
75,75,2024-05-01,2024-10-01
76,76,2020-05-01,2020-10-01
77,77,2024-08-01,2025-01-01
78,78,2022-08-01,2023-01-01
79,79,2021-10-01,2022-03-01
