kind,detector,panel,n_A_B_ON
freeze,T2,attacked,52
freeze,coh_resid_energy,attacked,80
freeze,coh_resid_t2,attacked,80
freeze,cusum_coh_resid_t2,attacked,38
freeze,cusum_factor_cov_lrt,attacked,77
freeze,ewma_coh_resid_t2,attacked,80
freeze,ewma_factor_cov_lrt,attacked,0
freeze,factor_cov_change,attacked,0
freeze,factor_cov_delta,attacked,0
freeze,factor_cov_lrt,attacked,0
freeze,factor_cov_lrt_delta,attacked,78
freeze,fused_fisher,attacked,77
freeze,fused_fisher_lrt_delta,attacked,0
freeze,fused_sp,attacked,55
freeze,fused_sp_lrt_delta,attacked,55
freeze,max_abs,attacked,0
freeze,pc_t2,attacked,58
freeze,res_energy,attacked,55
freeze,stale,attacked,0
corr_mix,T2,attacked,52
corr_mix,coh_resid_energy,attacked,80
corr_mix,coh_resid_t2,attacked,80
corr_mix,cusum_coh_resid_t2,attacked,38
corr_mix,cusum_factor_cov_lrt,attacked,77
corr_mix,ewma_coh_resid_t2,attacked,80
corr_mix,ewma_factor_cov_lrt,attacked,0
corr_mix,factor_cov_change,attacked,0
corr_mix,factor_cov_delta,attacked,0
corr_mix,factor_cov_lrt,attacked,0
corr_mix,factor_cov_lrt_delta,attacked,78
corr_mix,fused_fisher,attacked,77
corr_mix,fused_fisher_lrt_delta,attacked,0
corr_mix,fused_sp,attacked,55
corr_mix,fused_sp_lrt_delta,attacked,55
corr_mix,max_abs,attacked,0
corr_mix,pc_t2,attacked,58
corr_mix,res_energy,attacked,55
corr_mix,stale,attacked,0
