kind,detector,panel,n_A_B_ON,n_A_B_OFF
freeze,T2,attacked,52,80
freeze,coh_resid_energy,attacked,80,80
freeze,coh_resid_t2,attacked,80,3
freeze,cusum_coh_resid_t2,attacked,38,38
freeze,cusum_factor_cov_lrt,attacked,77,77
freeze,ewma_coh_resid_t2,attacked,80,44
freeze,fused_fisher,attacked,77,44
freeze,fused_sp,attacked,55,50
freeze,fused_sp_lrt_delta,attacked,55,80
freeze,pc_t2,attacked,58,80
freeze,res_energy,attacked,55,80
corr_mix,T2,attacked,52,80
corr_mix,coh_resid_energy,attacked,80,80
corr_mix,coh_resid_t2,attacked,80,3
corr_mix,cusum_coh_resid_t2,attacked,38,38
corr_mix,cusum_factor_cov_lrt,attacked,77,77
corr_mix,ewma_coh_resid_t2,attacked,80,44
corr_mix,fused_fisher,attacked,77,44
corr_mix,fused_sp,attacked,55,50
corr_mix,fused_sp_lrt_delta,attacked,55,80
corr_mix,pc_t2,attacked,58,80
corr_mix,res_energy,attacked,55,80
