panel,detector,budget,duration_months,tiw_eval,p_overlap_warning_uniform,tiw_in_window_uniform,p_overlap_indep,p_overlap_minus_indep,cad_win_zero,dtiw_win_zero,dfae_win_zero
full,max_abs,0.25,6,0.1875,0.5254237288135594,0.1864406779661017,0.7122997641563416,-0.1868760353427822,0.0,0.0,0.0
full,T2,0.25,6,0.1875,0.6101694915254238,0.18644067796610167,0.7122997641563416,-0.10213027263091778,0.0,0.0,0.0
full,res_energy,0.25,6,0.1875,0.5254237288135594,0.17514124293785308,0.7122997641563416,-0.1868760353427822,0.0,0.0,0.0
full,pc_t2,0.25,6,0.0625,0.1864406779661017,0.05367231638418078,0.32106584310531616,-0.13462516513921446,0.0,0.0,0.0
full,stale,0.25,6,0.046875,0.22033898305084745,0.050847457627118633,0.250279879765003,-0.029940896714155535,0.0,0.0,0.0
full,factor_cov_change,0.25,6,0.296875,0.6779661016949152,0.3050847457627119,0.8791643065487733,-0.2011982048538581,0.0,0.0,0.0
full,factor_cov_delta,0.25,6,0.1875,0.3220338983050847,0.1864406779661017,0.7122997641563416,-0.39026586585125683,0.0,0.0,0.0
full,factor_cov_lrt,0.25,6,0.0625,0.15254237288135594,0.06779661016949153,0.32106584310531616,-0.16852347022396022,0.0,0.0,0.0
full,factor_cov_lrt_delta,0.25,6,0.015625,0.1016949152542373,0.01694915254237288,0.0901632960740244,0.011531619180212893,0.0,0.0,0.0
full,fused_sp,0.25,6,0.09375,0.3050847457627119,0.0847457627118644,0.44602761324495077,-0.1409428674822389,0.0,0.0,0.0
full,fused_fisher,0.25,6,0.15625,0.3559322033898305,0.14124293785310732,0.6391865527257323,-0.2832543493359018,0.0,0.0,0.0
full,fused_sp_lrt_delta,0.25,6,0.109375,0.3220338983050847,0.10169491525423727,0.5009210069983965,-0.17888710869331176,0.0,0.0,0.0
full,fused_fisher_lrt_delta,0.25,6,0.0625,0.23728813559322035,0.05367231638418079,0.32106584310531616,-0.08377770751209582,0.0,0.0,0.0
full,ewma_factor_cov_lrt,0.25,6,0.078125,0.1694915254237288,0.0847457627118644,0.3861924501688918,-0.216700924745163,0.0,0.0,0.0
full,cusum_factor_cov_lrt,0.25,6,0.140625,0.4915254237288136,0.15254237288135594,0.5971936641581124,-0.10566824042929879,0.0,0.0,0.0
full,max_abs,0.5,6,0.40625,0.8813559322033898,0.41807909604519783,0.9561851089820266,-0.07482917677863676,0.0,0.0,0.0
full,T2,0.5,6,0.34375,0.8305084745762712,0.35593220338983056,0.9201240753754973,-0.08961560079922615,0.0,0.0,0.0
full,res_energy,0.5,6,0.25,0.5423728813559322,0.2288135593220339,0.822021484375,-0.2796486030190678,0.0,0.0,0.0
full,pc_t2,0.5,6,0.25,0.559322033898305,0.2542372881355932,0.822021484375,-0.26269945047669496,0.0,0.0,0.0
full,stale,0.5,6,0.0625,0.23728813559322035,0.06779661016949153,0.32106584310531616,-0.08377770751209582,0.0,0.0,0.0
full,factor_cov_change,0.5,6,0.359375,0.7288135593220338,0.3728813559322034,0.9308768857590621,-0.2020633264370283,0.0,0.0,0.0
full,factor_cov_delta,0.5,6,0.234375,0.6440677966101694,0.24576271186440676,0.7985827619995689,-0.15451496538939946,0.0,0.0,0.0
full,factor_cov_lrt,0.5,6,0.109375,0.2711864406779661,0.11581920903954802,0.5009210069983965,-0.22973456632043038,0.0,0.0,0.0
full,factor_cov_lrt_delta,0.5,6,0.171875,0.8135593220338984,0.16666666666666669,0.6774660957598826,0.13609322627401577,0.0,0.0,0.0
full,fused_sp,0.5,6,0.234375,0.559322033898305,0.23728813559322035,0.7985827619995689,-0.23926072810126386,0.0,0.0,0.0
full,fused_fisher,0.5,6,0.1875,0.3728813559322034,0.16101694915254236,0.7122997641563416,-0.33941840822413816,0.0,0.0,0.0
full,fused_sp_lrt_delta,0.5,6,0.203125,0.5254237288135594,0.2033898305084746,0.7439403115859022,-0.21851658277234287,0.0,0.0,0.0
full,fused_fisher_lrt_delta,0.5,6,0.125,0.2711864406779661,0.09322033898305085,0.5512046813964844,-0.2800182407185183,0.0,0.0,0.0
full,ewma_factor_cov_lrt,0.5,6,0.09375,0.1864406779661017,0.1016949152542373,0.44602761324495077,-0.2595869352788491,0.0,0.0,0.0
full,cusum_factor_cov_lrt,0.5,6,0.21875,0.7288135593220338,0.2344632768361582,0.7726263245567679,-0.0438127652347341,0.0,0.0,0.0
full,max_abs,0.75,6,0.4375,0.8135593220338984,0.4519774011299435,0.9683236479759216,-0.15476432594202327,0.0,0.0,0.0
full,T2,0.75,6,0.40625,0.8305084745762712,0.42372881355932207,0.9561851089820266,-0.12567663440575538,0.0,0.0,0.0
full,res_energy,0.75,6,0.296875,0.6440677966101694,0.2796610169491525,0.8791643065487733,-0.23509650993860387,0.0,0.0,0.0
full,pc_t2,0.75,6,0.40625,0.7796610169491526,0.4152542372881356,0.9561851089820266,-0.176524092032874,0.0,0.0,0.0
full,stale,0.75,6,0.0625,0.23728813559322035,0.06779661016949153,0.32106584310531616,-0.08377770751209582,0.0,0.0,0.0
full,factor_cov_change,0.75,6,0.5,0.9491525423728814,0.5254237288135594,0.984375,-0.03522245762711862,0.0,0.0,0.0
full,factor_cov_delta,0.75,6,0.28125,0.7966101694915254,0.29661016949152547,0.8621308347210288,-0.0655206652295034,0.0,0.0,0.0
full,factor_cov_lrt,0.75,6,0.125,0.3389830508474576,0.1327683615819209,0.5512046813964844,-0.21222163054902676,0.0,0.0,0.0
full,factor_cov_lrt_delta,0.75,6,0.171875,0.8135593220338984,0.16666666666666669,0.6774660957598826,0.13609322627401577,0.0,0.0,0.0
full,fused_sp,0.75,6,0.296875,0.6610169491525424,0.2937853107344633,0.8791643065487733,-0.21814735739623092,0.0,0.0,0.0
full,fused_fisher,0.75,6,0.34375,0.7796610169491526,0.34463276836158196,0.9201240753754973,-0.14046305842634477,0.0,0.0,0.0
full,fused_sp_lrt_delta,0.75,6,0.234375,0.559322033898305,0.23728813559322035,0.7985827619995689,-0.23926072810126386,0.0,0.0,0.0
full,fused_fisher_lrt_delta,0.75,6,0.375,0.8305084745762712,0.35875706214689274,0.9403953552246094,-0.10988688064833818,0.0,0.0,0.0
full,ewma_factor_cov_lrt,0.75,6,0.09375,0.1864406779661017,0.1016949152542373,0.44602761324495077,-0.2595869352788491,0.0,0.0,0.0
full,cusum_factor_cov_lrt,0.75,6,0.375,0.847457627118644,0.40395480225988706,0.9403953552246094,-0.09293772810596534,0.0,0.0,0.0
full,max_abs,1.0,6,0.4375,0.8135593220338984,0.4519774011299435,0.9683236479759216,-0.15476432594202327,0.0,0.0,0.0
full,T2,1.0,6,0.421875,0.8305084745762712,0.44067796610169496,0.9626637667970499,-0.1321552922207787,0.0,0.0,0.0
full,res_energy,1.0,6,0.296875,0.6440677966101694,0.2796610169491525,0.8791643065487733,-0.23509650993860387,0.0,0.0,0.0
full,pc_t2,1.0,6,0.40625,0.7796610169491526,0.4152542372881356,0.9561851089820266,-0.176524092032874,0.0,0.0,0.0
full,stale,1.0,6,0.0625,0.23728813559322035,0.06779661016949153,0.32106584310531616,-0.08377770751209582,0.0,0.0,0.0
full,factor_cov_change,1.0,6,0.5,0.9491525423728814,0.5254237288135594,0.984375,-0.03522245762711862,0.0,0.0,0.0
full,factor_cov_delta,1.0,6,0.421875,0.864406779661017,0.4322033898305085,0.9626637667970499,-0.09825698713603293,0.0,0.0,0.0
full,factor_cov_lrt,1.0,6,0.125,0.3389830508474576,0.1327683615819209,0.5512046813964844,-0.21222163054902676,0.0,0.0,0.0
full,factor_cov_lrt_delta,1.0,6,0.171875,0.8135593220338984,0.16666666666666669,0.6774660957598826,0.13609322627401577,0.0,0.0,0.0
full,fused_sp,1.0,6,0.453125,0.9491525423728814,0.45762711864406785,0.9732497144577792,-0.02409717208489781,0.0,0.0,0.0
full,fused_fisher,1.0,6,0.34375,0.7796610169491526,0.34463276836158196,0.9201240753754973,-0.14046305842634477,0.0,0.0,0.0
full,fused_sp_lrt_delta,1.0,6,0.28125,0.6440677966101694,0.27683615819209045,0.8621308347210288,-0.21806303811085936,0.0,0.0,0.0
full,fused_fisher_lrt_delta,1.0,6,0.375,0.8305084745762712,0.35875706214689274,0.9403953552246094,-0.10988688064833818,0.0,0.0,0.0
full,ewma_factor_cov_lrt,1.0,6,0.09375,0.1864406779661017,0.1016949152542373,0.44602761324495077,-0.2595869352788491,0.0,0.0,0.0
full,cusum_factor_cov_lrt,1.0,6,0.375,0.7966101694915254,0.403954802259887,0.9403953552246094,-0.14378518573308396,0.0,0.0,0.0
full,max_abs,1.25,6,0.515625,0.9322033898305084,0.536723163841808,0.9870851216692245,-0.05488173183871603,0.0,0.0,0.0
full,T2,1.25,6,0.453125,0.8305084745762712,0.45762711864406785,0.9732497144577792,-0.142741239881508,0.0,0.0,0.0
full,res_energy,1.25,6,0.296875,0.6440677966101694,0.2796610169491525,0.8791643065487733,-0.23509650993860387,0.0,0.0,0.0
full,pc_t2,1.25,6,0.4375,0.8813559322033898,0.4406779661016949,0.9683236479759216,-0.08696771577253182,0.0,0.0,0.0
full,stale,1.25,6,0.140625,0.3050847457627119,0.15254237288135594,0.5971936641581124,-0.2921089183954005,0.0,0.0,0.0
full,factor_cov_change,1.25,6,0.578125,0.9830508474576272,0.6073446327683616,0.9943622898863396,-0.011311442428712404,0.0,0.0,0.0
full,factor_cov_delta,1.25,6,0.421875,0.864406779661017,0.4322033898305085,0.9626637667970499,-0.09825698713603293,0.0,0.0,0.0
full,factor_cov_lrt,1.25,6,0.15625,0.5423728813559322,0.16666666666666666,0.6391865527257323,-0.09681367136980012,0.0,0.0,0.0
full,factor_cov_lrt_delta,1.25,6,0.203125,0.7966101694915254,0.18079096045197743,0.7439403115859022,0.052669857905623174,0.0,0.0,0.0
full,fused_sp,1.25,6,0.453125,0.9491525423728814,0.45762711864406785,0.9732497144577792,-0.02409717208489781,0.0,0.0,0.0
full,fused_fisher,1.25,6,0.546875,0.9830508474576272,0.576271186440678,0.9913441814569524,-0.008293333999325192,0.0,0.0,0.0
