kind,panel,detector,paper_strength_policy,attack_strength_selected,attack_strength_selected_is_applicable,budget_target_paper,budget_nominal_selected,matched_mode,matched_budget_band,matched_tol_budget,tiw_cap,matched_tol_tiw,years_eval_median,target_count_nearest,count_band_width,implied_rate_nearest,n_trials_total,n_trials_budget_in_band,n_trials_joint_in_band,n_trials_primary,coverage_budget,coverage_joint,coverage_primary,primary_status,n_trials,detect_rate,detect_rate_null,uplift_detect_rate,event_success_rate,event_timely_sla_rate,event_anywarn_success_rate,event_anywarn_timely_sla_rate,event_preexisting_warning_rate,contract_pass_full_rate,contract_pass_full_anywarn_rate,event_sla_months,median_delay,median_delay_null,delay_p50,delay_p90,delay_null_p50,delay_null_p90,event_delay_p50,event_delay_p90,event_time_to_trigger_p50,event_time_to_trigger_p90,median_delay_uncens,median_delay_null_uncens,mean_false_alarm_months_per_year,mean_false_alert_events_per_year,mean_time_in_warning,mean_p_star,mean_effect_size,mean_fae_null,mean_tiw_null,mean_cad_win,mean_cad_post,mean_dtiw_win,mean_abs_dtiw_win,mean_dtiw_post,nc2_p0,p_hat,p_binom,nc2_pass,nc2_alpha,row_status,infeasible_reason
corr_mix,all_only,T2,INFEASIBLE,0.5,INFEASIBLE,1.0,INFEASIBLE,budget_only,count,0.1,INFEASIBLE,INFEASIBLE,INFEASIBLE,5,1,1.0344827586206897,80,INFEASIBLE,INFEASIBLE,0,INFEASIBLE,INFEASIBLE,0.0,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,no_trials_in_matched_band
corr_mix,all_only,cusum_factor_cov_lrt,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.2,0.1,4.833333333333333,5,1,1.0344827586206897,80,80,0,80,1.0,0.0,1.0,OK,80.0,0.55,0.55,0.0,0.75,0.4625,0.75,0.4625,0.25,0.0,0.0,1.0,5.0,5.0,5.0,6.0,5.0,6.0,2.0,6.0,5.0,6.0,2.0,2.0,3.496551724137931,0.9543103448275861,0.29137931034482756,NA,0.32033419404596924,0.9543103448275861,0.29137931034482756,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.5461606219703808,0.0,0.05,OK,
corr_mix,all_only,ewma_factor_cov_lrt,INFEASIBLE,0.5,INFEASIBLE,1.0,INFEASIBLE,budget_only,count,0.1,INFEASIBLE,INFEASIBLE,INFEASIBLE,5,1,1.0344827586206897,80,INFEASIBLE,INFEASIBLE,0,INFEASIBLE,INFEASIBLE,0.0,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,no_trials_in_matched_band
corr_mix,all_only,factor_cov_change,INFEASIBLE,0.5,INFEASIBLE,1.0,INFEASIBLE,budget_only,count,0.1,INFEASIBLE,INFEASIBLE,INFEASIBLE,5,1,1.0344827586206897,80,INFEASIBLE,INFEASIBLE,0,INFEASIBLE,INFEASIBLE,0.0,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,no_trials_in_matched_band
corr_mix,all_only,factor_cov_delta,INFEASIBLE,0.5,INFEASIBLE,1.0,INFEASIBLE,budget_only,count,0.1,INFEASIBLE,INFEASIBLE,INFEASIBLE,5,1,1.0344827586206897,80,INFEASIBLE,INFEASIBLE,0,INFEASIBLE,INFEASIBLE,0.0,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,no_trials_in_matched_band
corr_mix,all_only,factor_cov_lrt,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.2,0.1,4.833333333333333,5,1,1.0344827586206897,80,60,60,60,0.75,0.75,0.75,OK,60.0,0.03333333333333333,0.03333333333333333,0.0,0.1,0.06666666666666667,0.1,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,2.4379310344827583,0.8275862068965519,0.20316091954022994,0.10704097511286118,0.20709792318355624,0.8275862068965519,0.20316091954022994,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.5985822248820383,0.0,0.05,OK,
corr_mix,all_only,factor_cov_lrt_delta,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.2,0.1,4.833333333333333,5,1,1.0344827586206897,80,80,80,80,1.0,1.0,1.0,OK,80.0,0.425,0.425,0.0,0.525,0.2375,0.525,0.2375,0.1,0.2375,0.2375,1.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,2.5,2.5,2.071551724137931,0.9568965517241381,0.1726293103448276,0.10261205189350167,0.2193910249545671,0.9568965517241381,0.1726293103448276,0.0,0.0,0.0,0.0,0.0,0.425,0.425,0.5427428840866224,0.0,0.05,OK,
corr_mix,all_only,fused_fisher,INFEASIBLE,0.5,INFEASIBLE,1.0,INFEASIBLE,budget_only,count,0.1,INFEASIBLE,INFEASIBLE,INFEASIBLE,5,1,1.0344827586206897,80,INFEASIBLE,INFEASIBLE,0,INFEASIBLE,INFEASIBLE,0.0,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,no_trials_in_matched_band
corr_mix,all_only,fused_fisher_lrt_delta,INFEASIBLE,0.5,INFEASIBLE,1.0,INFEASIBLE,budget_only,count,0.1,INFEASIBLE,INFEASIBLE,INFEASIBLE,5,1,1.0344827586206897,80,INFEASIBLE,INFEASIBLE,0,INFEASIBLE,INFEASIBLE,0.0,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,no_trials_in_matched_band
corr_mix,all_only,fused_sp,INFEASIBLE,0.5,INFEASIBLE,1.0,INFEASIBLE,budget_only,count,0.1,INFEASIBLE,INFEASIBLE,INFEASIBLE,5,1,1.0344827586206897,80,INFEASIBLE,INFEASIBLE,0,INFEASIBLE,INFEASIBLE,0.0,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,no_trials_in_matched_band
