analysis,selection_role,display_row,detector,metric,metric_label,point_estimate,observed_successes,observed_denominator,R_total,R_valid,bootstrap_lower_2_5,bootstrap_upper_97_5,formatted_point_and_interval,wilson_lower_two_sided_95,wilson_upper_two_sided_95
CFPB GradualBias,Naive timely row,CUSUM Factor LRT,cusum_factor_cov_lrt,matched_burden_timely_at_k,Matched-burden Timely@K,0.6493506493506493,50,77,5000,5000,0.5394736842105263,0.7532467532467533,"0.649 [0.539, 0.753]",nan,nan
CFPB GradualBias,Naive timely row,CUSUM Factor LRT,cusum_factor_cov_lrt,matched_burden_contract_pass_rate,Matched-burden contract-pass rate,0.0,0,77,5000,5000,0.0,0.0,"0.000 [0.000, 0.000]",0.0,0.04751842528243408
CFPB GradualBias,Naive timely row,CUSUM Factor LRT,cusum_factor_cov_lrt,all_trial_contract_pass_rate,All-trial contract-pass rate,0.0,0,80,5000,5000,0.0,0.0,"0.000 [0.000, 0.000]",0.0,0.0458181295355271
CFPB GradualBias,Naive timely row,CUSUM Factor LRT,cusum_factor_cov_lrt,coverage_joint,Joint coverage,0.0,0,80,5000,5000,0.0,0.0,"0.000 [0.000, 0.000]",0.0,0.0458181295355271
CFPB GradualBias,Naive timely row,CUSUM Factor LRT,cusum_factor_cov_lrt,mean_tiw_clean_matched,Mean clean-replay TIW over A_B,0.4171518137035378,,,5000,5000,0.4001320809264939,0.43356321839080464,"0.417 [0.400, 0.434]",nan,nan
CFPB GradualBias,Naive timely row,CUSUM Factor LRT,cusum_factor_cov_lrt,mean_tiw_corrupted_matched,Mean corrupted-replay TIW over A_B,0.4169278996865204,,,5000,5000,0.3999988656987296,0.43307622504537197,"0.417 [0.400, 0.433]",nan,nan
CFPB GradualBias,Naive timely row,CUSUM Factor LRT,cusum_factor_cov_lrt,mean_cad_win_matched,Mean CAD over A_B,0.010822510822510822,,,5000,5000,0.0021922704488493965,0.02109704641350211,"0.011 [0.002, 0.021]",nan,nan
CFPB GradualBias,Naive timely row,CUSUM Factor LRT,cusum_factor_cov_lrt,mean_false_alert_events_corrupted_matched,False-alert events/year over A_B,1.1634572324227495,,,5000,5000,1.1340000680245115,1.1903269144648454,"1.163 [1.134, 1.190]",nan,nan
CFPB GradualBias,Best matched-compliant row,Fused Fisher,fused_fisher,matched_burden_timely_at_k,Matched-burden Timely@K,0.22077922077922077,17,77,5000,5000,0.13157894736842105,0.31645569620253167,"0.221 [0.132, 0.316]",nan,nan
CFPB GradualBias,Best matched-compliant row,Fused Fisher,fused_fisher,matched_burden_contract_pass_rate,Matched-burden contract-pass rate,0.22077922077922077,17,77,5000,5000,0.13157894736842105,0.31645569620253167,"0.221 [0.132, 0.316]",nan,nan
CFPB GradualBias,Best matched-compliant row,Fused Fisher,fused_fisher,all_trial_contract_pass_rate,All-trial contract-pass rate,0.25,20,80,5000,5000,0.1625,0.35,"0.250 [0.163, 0.350]",nan,nan
CFPB GradualBias,Best matched-compliant row,Fused Fisher,fused_fisher,coverage_joint,Joint coverage,0.45,36,80,5000,5000,0.3375,0.5625,"0.450 [0.338, 0.563]",nan,nan
CFPB GradualBias,Best matched-compliant row,Fused Fisher,fused_fisher,mean_tiw_clean_matched,Mean clean-replay TIW over A_B,0.15584415584415584,,,5000,5000,0.14920402298850574,0.1617205627282961,"0.156 [0.149, 0.162]",nan,nan
CFPB GradualBias,Best matched-compliant row,Fused Fisher,fused_fisher,mean_tiw_corrupted_matched,Mean corrupted-replay TIW over A_B,0.15158978952082397,,,5000,5000,0.14556898252336925,0.15701149425287356,"0.152 [0.146, 0.157]",nan,nan
CFPB GradualBias,Best matched-compliant row,Fused Fisher,fused_fisher,mean_cad_win_matched,Mean CAD over A_B,0.04978354978354978,,,5000,5000,0.03205128205128205,0.06889826839826825,"0.050 [0.032, 0.069]",nan,nan
CFPB GradualBias,Best matched-compliant row,Fused Fisher,fused_fisher,mean_false_alert_events_corrupted_matched,False-alert events/year over A_B,0.9081952530228392,,,5000,5000,0.8717198275862069,0.9469496021220158,"0.908 [0.872, 0.947]",nan,nan
