detector,same_base_trials,same_A_B_membership,same_A_J_membership,coverage_budget_freeze,coverage_budget_corrmix,coverage_joint_freeze,coverage_joint_corrmix
T2,True,True,True,0.65,0.65,0.0,0.0
coh_resid_energy,True,True,True,1.0,1.0,0.175,0.175
coh_resid_t2,True,True,True,1.0,1.0,0.0875,0.0875
cusum_coh_resid_t2,True,True,True,0.475,0.475,0.0,0.0
cusum_factor_cov_lrt,True,True,True,0.9625,0.9625,0.0,0.0
ewma_coh_resid_t2,True,True,True,1.0,1.0,0.0,0.0
ewma_factor_cov_lrt,True,True,True,0.0,0.0,0.0,0.0
factor_cov_change,True,True,True,0.0,0.0,0.0,0.0
factor_cov_delta,True,True,True,0.0,0.0,0.0,0.0
factor_cov_lrt,True,True,True,0.0,0.0,0.0,0.0
factor_cov_lrt_delta,True,True,True,0.975,0.975,0.4875,0.4875
fused_fisher,True,True,True,0.9625,0.9625,0.45,0.45
fused_fisher_lrt_delta,True,True,True,0.0,0.0,0.0,0.0
fused_sp,True,True,True,0.6875,0.6875,0.025,0.025
fused_sp_lrt_delta,True,True,True,0.6875,0.6875,0.025,0.025
max_abs,True,True,True,0.0,0.0,0.0,0.0
pc_t2,True,True,True,0.725,0.725,0.075,0.075
res_energy,True,True,True,0.6875,0.6875,0.025,0.025
stale,True,True,True,0.0,0.0,0.0,0.0
