analysis_id,estimand,configuration_menu_size,contrast,point_estimate,R_total,R_valid,valid_fraction,meets_reporting_criterion,bootstrap_lower_2_5,bootstrap_upper_97_5,primary_or_secondary,bootstrap_method
recalibration,budget_coverage_median_19,19,ON_fixed_menu_median,0.6875,5000,5000,1.0,True,0.575,0.7625,primary full-menu,paired base-trial percentile bootstrap; difference of fixed-menu medians is primary
recalibration,budget_coverage_median_19,19,OFF_fixed_menu_median,0.55,5000,5000,1.0,True,0.5,0.6625,primary full-menu,paired base-trial percentile bootstrap; difference of fixed-menu medians is primary
recalibration,budget_coverage_median_19,19,difference_of_fixed_menu_medians_ON_minus_OFF,0.13749999999999996,5000,5000,1.0,True,-0.03749999999999998,0.22499999999999998,primary full-menu,paired base-trial percentile bootstrap; difference of fixed-menu medians is primary
recalibration,joint_coverage_median_19,19,ON_fixed_menu_median,0.0,5000,5000,1.0,True,0.0,0.0,primary full-menu,paired base-trial percentile bootstrap; difference of fixed-menu medians is primary
recalibration,joint_coverage_median_19,19,OFF_fixed_menu_median,0.0,5000,5000,1.0,True,0.0,0.0,primary full-menu,paired base-trial percentile bootstrap; difference of fixed-menu medians is primary
recalibration,joint_coverage_median_19,19,difference_of_fixed_menu_medians_ON_minus_OFF,0.0,5000,5000,1.0,True,0.0,0.0,primary full-menu,paired base-trial percentile bootstrap; difference of fixed-menu medians is primary
recalibration,all_trial_contract_pass_median_38,38,ON_fixed_menu_median,0.1125,5000,5000,1.0,True,0.0625,0.1625,primary full-menu,paired base-trial percentile bootstrap; difference of fixed-menu medians is primary
recalibration,all_trial_contract_pass_median_38,38,OFF_fixed_menu_median,0.0,5000,5000,1.0,True,0.0,0.0,primary full-menu,paired base-trial percentile bootstrap; difference of fixed-menu medians is primary
recalibration,all_trial_contract_pass_median_38,38,difference_of_fixed_menu_medians_ON_minus_OFF,0.1125,5000,5000,1.0,True,0.0625,0.1625,primary full-menu,paired base-trial percentile bootstrap; difference of fixed-menu medians is primary
recalibration,nonzero_joint_fraction_19,19,ON_nonzero_joint_fraction,0.42105263157894735,5000,5000,1.0,True,0.2631578947368421,0.42105263157894735,primary full-menu,paired base-trial bootstrap of detector-level nonzero-joint status
recalibration,nonzero_joint_fraction_19,19,OFF_nonzero_joint_fraction,0.0,5000,5000,1.0,True,0.0,0.0,primary full-menu,paired base-trial bootstrap of detector-level nonzero-joint status
recalibration,nonzero_joint_fraction_19,19,change_in_nonzero_joint_fraction_ON_minus_OFF,0.42105263157894735,5000,5000,1.0,True,0.2631578947368421,0.42105263157894735,primary full-menu,paired base-trial bootstrap of detector-level nonzero-joint status
recalibration,matched_burden_timely_median_22,22,ON_fixed_menu_median,0.2481331168831169,5000,4770,0.954,True,0.16542207792207791,0.327039161392405,secondary matched-burden intersection,paired base-trial percentile bootstrap; difference of fixed-menu medians is primary
recalibration,matched_burden_timely_median_22,22,OFF_fixed_menu_median,0.49375,5000,4770,0.954,True,0.42678571428571427,0.5874999999999999,secondary matched-burden intersection,paired base-trial percentile bootstrap; difference of fixed-menu medians is primary
recalibration,matched_burden_timely_median_22,22,difference_of_fixed_menu_medians_ON_minus_OFF,-0.24561688311688312,5000,4770,0.954,True,-0.34535269830161475,-0.18695258483917304,secondary matched-burden intersection,paired base-trial percentile bootstrap; difference of fixed-menu medians is primary
recalibration,matched_burden_contract_pass_median_22,22,ON_fixed_menu_median,0.01818181818181818,5000,4770,0.954,True,0.0,0.058823529411764705,secondary matched-burden intersection,paired base-trial percentile bootstrap; difference of fixed-menu medians is primary
recalibration,matched_burden_contract_pass_median_22,22,OFF_fixed_menu_median,0.0,5000,4770,0.954,True,0.0,0.0,secondary matched-burden intersection,paired base-trial percentile bootstrap; difference of fixed-menu medians is primary
recalibration,matched_burden_contract_pass_median_22,22,difference_of_fixed_menu_medians_ON_minus_OFF,0.01818181818181818,5000,4770,0.954,True,0.0,0.058823529411764705,secondary matched-burden intersection,paired base-trial percentile bootstrap; difference of fixed-menu medians is primary
