analysis_id,display_row,kind,panel,detector,metric,metric_label,point_estimate,observed_successes,observed_denominator,R_total,R_valid,valid_fraction,meets_reporting_criterion,bootstrap_lower_2_5,bootstrap_upper_97_5,bootstrap_method,observed_boundary_proportion,wilson_lower_two_sided_95,wilson_upper_two_sided_95,wilson_note
selected_rows,Fused Fisher,freeze,score_only,fused_fisher,coverage_budget,Budget coverage,0.9625,77,80,5000,5000,1.0,True,0.9125,1.0,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,False,nan,nan,
selected_rows,Fused Fisher,freeze,score_only,fused_fisher,coverage_joint,Joint coverage,0.45,36,80,5000,5000,1.0,True,0.3375,0.5625,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,False,nan,nan,
selected_rows,Fused Fisher,freeze,score_only,fused_fisher,matched_burden_timely_at_k,Matched-burden Timely@K,0.44155844155844154,34,77,5000,5000,1.0,True,0.3333333333333333,0.5512820512820513,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,False,nan,nan,
selected_rows,Fused Fisher,freeze,score_only,fused_fisher,matched_burden_contract_pass_rate,Matched-burden contract-pass rate,0.33766233766233766,26,77,5000,5000,1.0,True,0.23684210526315788,0.4473684210526316,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,False,nan,nan,
selected_rows,Fused Fisher,freeze,score_only,fused_fisher,all_trial_contract_pass_rate,All-trial contract-pass rate,0.3375,27,80,5000,5000,1.0,True,0.2375,0.4375,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,False,nan,nan,
selected_rows,Fused Fisher,freeze,score_only,fused_fisher,mean_tiw_clean_matched,Mean clean-replay TIW over A_B,0.15584415584415584,,,5000,5000,1.0,True,0.14920402298850574,0.1617205627282961,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,False,nan,nan,
selected_rows,Fused Fisher,freeze,score_only,fused_fisher,mean_tiw_corrupted_matched,Mean corrupted-replay TIW over A_B,0.15539632781012092,,,5000,5000,1.0,True,0.14949803579223048,0.1610650371017023,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,False,nan,nan,
selected_rows,Coherence residual T2,freeze,score_only,coh_resid_t2,coverage_budget,Budget coverage,1.0,80,80,5000,5000,1.0,True,1.0,1.0,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,True,0.9541818704644728,0.9999999999999999,Approximate Bernoulli boundary sensitivity conditional on sampled incident design
selected_rows,Coherence residual T2,freeze,score_only,coh_resid_t2,coverage_joint,Joint coverage,0.0875,7,80,5000,5000,1.0,True,0.025,0.15,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,False,nan,nan,
selected_rows,Coherence residual T2,freeze,score_only,coh_resid_t2,matched_burden_timely_at_k,Matched-burden Timely@K,0.8,64,80,5000,5000,1.0,True,0.7125,0.8875,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,False,nan,nan,
selected_rows,Coherence residual T2,freeze,score_only,coh_resid_t2,matched_burden_contract_pass_rate,Matched-burden contract-pass rate,0.0875,7,80,5000,5000,1.0,True,0.025,0.15,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,False,nan,nan,
selected_rows,Coherence residual T2,freeze,score_only,coh_resid_t2,all_trial_contract_pass_rate,All-trial contract-pass rate,0.0875,7,80,5000,5000,1.0,True,0.025,0.15,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,False,nan,nan,
selected_rows,Coherence residual T2,freeze,score_only,coh_resid_t2,mean_tiw_clean_matched,Mean clean-replay TIW over A_B,0.22133620689655173,,,5000,5000,1.0,True,0.21465517241379306,0.22758620689655168,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,False,nan,nan,
selected_rows,Coherence residual T2,freeze,score_only,coh_resid_t2,mean_tiw_corrupted_matched,Mean corrupted-replay TIW over A_B,0.20150862068965517,,,5000,5000,1.0,True,0.1894396551724138,0.21271551724137933,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,False,nan,nan,
selected_rows,CUSUM Factor LRT,freeze,score_only,cusum_factor_cov_lrt,coverage_budget,Budget coverage,0.9625,77,80,5000,5000,1.0,True,0.9125,1.0,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,False,nan,nan,
selected_rows,CUSUM Factor LRT,freeze,score_only,cusum_factor_cov_lrt,coverage_joint,Joint coverage,0.0,0,80,5000,5000,1.0,True,0.0,0.0,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,True,0.0,0.0458181295355271,Approximate Bernoulli boundary sensitivity conditional on sampled incident design
selected_rows,CUSUM Factor LRT,freeze,score_only,cusum_factor_cov_lrt,matched_burden_timely_at_k,Matched-burden Timely@K,0.8831168831168831,68,77,5000,5000,1.0,True,0.8051948051948052,0.9487179487179487,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,False,nan,nan,
selected_rows,CUSUM Factor LRT,freeze,score_only,cusum_factor_cov_lrt,matched_burden_contract_pass_rate,Matched-burden contract-pass rate,0.0,0,77,5000,5000,1.0,True,0.0,0.0,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,True,0.0,0.04751842528243408,Approximate Bernoulli boundary sensitivity conditional on sampled incident design
selected_rows,CUSUM Factor LRT,freeze,score_only,cusum_factor_cov_lrt,all_trial_contract_pass_rate,All-trial contract-pass rate,0.0,0,80,5000,5000,1.0,True,0.0,0.0,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,True,0.0,0.0458181295355271,Approximate Bernoulli boundary sensitivity conditional on sampled incident design
selected_rows,CUSUM Factor LRT,freeze,score_only,cusum_factor_cov_lrt,mean_tiw_clean_matched,Mean clean-replay TIW over A_B,0.4171518137035378,,,5000,5000,1.0,True,0.4001320809264939,0.43356321839080464,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,False,nan,nan,
selected_rows,CUSUM Factor LRT,freeze,score_only,cusum_factor_cov_lrt,mean_tiw_corrupted_matched,Mean corrupted-replay TIW over A_B,0.4308105687416033,,,5000,5000,1.0,True,0.412499590790048,0.44874050632911383,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,False,nan,nan,
selected_rows,Max Abs control,freeze,all_only,max_abs,coverage_budget,Budget coverage,1.0,80,80,5000,5000,1.0,True,1.0,1.0,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,True,0.9541818704644728,0.9999999999999999,Approximate Bernoulli boundary sensitivity conditional on sampled incident design
selected_rows,Max Abs control,freeze,all_only,max_abs,coverage_joint,Joint coverage,0.175,14,80,5000,5000,1.0,True,0.1,0.2625,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,False,nan,nan,
selected_rows,Max Abs control,freeze,all_only,max_abs,matched_burden_timely_at_k,Matched-burden Timely@K,0.275,22,80,5000,5000,1.0,True,0.175,0.375,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,False,nan,nan,
selected_rows,Max Abs control,freeze,all_only,max_abs,matched_burden_contract_pass_rate,Matched-burden contract-pass rate,0.125,10,80,5000,5000,1.0,True,0.0625,0.2,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,False,nan,nan,
selected_rows,Max Abs control,freeze,all_only,max_abs,all_trial_contract_pass_rate,All-trial contract-pass rate,0.125,10,80,5000,5000,1.0,True,0.0625,0.2,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,False,nan,nan,
selected_rows,Max Abs control,freeze,all_only,max_abs,mean_tiw_clean_matched,Mean clean-replay TIW over A_B,0.1877155172413793,,,5000,5000,1.0,True,0.18168103448275863,0.19331896551724137,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,False,nan,nan,
selected_rows,Max Abs control,freeze,all_only,max_abs,mean_tiw_corrupted_matched,Mean corrupted-replay TIW over A_B,0.1877155172413793,,,5000,5000,1.0,True,0.18168103448275863,0.19331896551724137,paired base-trial percentile bootstrap; common resampling vectors; NumPy quantile method=linear; valid replicates only,False,nan,nan,
