run,dataset,run_role,kind,panel_code,panel,detector,budget_nominal,budget_target,attack_strength,n_total,n_A_B,n_A_J,n_timely_A_B,n_matched_contract_pass,n_all_trial_contract_pass,coverage_budget,coverage_joint,matched_burden_timely_at_k,matched_burden_contract_pass_rate,all_trial_contract_pass_rate,mean_tiw_clean_matched,mean_tiw_corrupted_matched,mean_cad_win_matched,mean_false_alert_events_corrupted_matched,matched_tol_budget,matched_tol_tiw,safety_eps,tiw_cap
cfpb_online_recal1_seed0,CFPB,canonical_on,corr_mix,all_only,control,T2,1.0,1.0,0.5,80,0,0,0,0,15,0.0,0.0,nan,nan,0.1875,nan,nan,nan,nan,0.1,0.1,0.1,0.15
cfpb_online_recal1_seed0,CFPB,canonical_on,corr_mix,all_only,control,cusum_factor_cov_lrt,1.0,1.0,0.5,80,80,0,37,0,0,1.0,0.0,0.4625,0.0,0.0,0.29137931034482756,0.29137931034482756,0.0,0.9543103448275861,0.1,0.1,0.1,0.15
cfpb_online_recal1_seed0,CFPB,canonical_on,corr_mix,all_only,control,ewma_factor_cov_lrt,1.0,1.0,0.5,80,0,0,0,0,7,0.0,0.0,nan,nan,0.0875,nan,nan,nan,nan,0.1,0.1,0.1,0.15
cfpb_online_recal1_seed0,CFPB,canonical_on,corr_mix,all_only,control,factor_cov_change,1.0,1.0,0.5,80,0,0,0,0,6,0.0,0.0,nan,nan,0.075,nan,nan,nan,nan,0.1,0.1,0.1,0.15
cfpb_online_recal1_seed0,CFPB,canonical_on,corr_mix,all_only,control,factor_cov_delta,1.0,1.0,0.5,80,0,0,0,0,12,0.0,0.0,nan,nan,0.15,nan,nan,nan,nan,0.1,0.1,0.1,0.15
cfpb_online_recal1_seed0,CFPB,canonical_on,corr_mix,all_only,control,factor_cov_lrt,1.0,1.0,0.5,80,0,0,0,0,6,0.0,0.0,nan,nan,0.075,nan,nan,nan,nan,0.1,0.1,0.1,0.15
cfpb_online_recal1_seed0,CFPB,canonical_on,corr_mix,all_only,control,factor_cov_lrt_delta,1.0,1.0,0.5,80,56,56,7,7,16,0.7,0.7,0.125,0.125,0.2,0.13546798029556653,0.13546798029556653,0.0,0.8275862068965517,0.1,0.1,0.1,0.15
cfpb_online_recal1_seed0,CFPB,canonical_on,corr_mix,all_only,control,fused_fisher,1.0,1.0,0.5,80,0,0,0,0,11,0.0,0.0,nan,nan,0.1375,nan,nan,nan,nan,0.1,0.1,0.1,0.15
cfpb_online_recal1_seed0,CFPB,canonical_on,corr_mix,all_only,control,fused_fisher_lrt_delta,1.0,1.0,0.5,80,0,0,0,0,12,0.0,0.0,nan,nan,0.15,nan,nan,nan,nan,0.1,0.1,0.1,0.15
cfpb_online_recal1_seed0,CFPB,canonical_on,corr_mix,all_only,control,fused_sp,1.0,1.0,0.5,80,0,0,0,0,13,0.0,0.0,nan,nan,0.1625,nan,nan,nan,nan,0.1,0.1,0.1,0.15
cfpb_online_recal1_seed0,CFPB,canonical_on,corr_mix,all_only,control,fused_sp_lrt_delta,1.0,1.0,0.5,80,0,0,0,0,10,0.0,0.0,nan,nan,0.125,nan,nan,nan,nan,0.1,0.1,0.1,0.15
cfpb_online_recal1_seed0,CFPB,canonical_on,corr_mix,all_only,control,max_abs,1.0,1.0,0.5,80,80,14,22,10,10,1.0,0.175,0.275,0.125,0.125,0.1877155172413793,0.1877155172413793,0.0,0.9594827586206897,0.1,0.1,0.1,0.15
cfpb_online_recal1_seed0,CFPB,canonical_on,corr_mix,all_only,control,pc_t2,1.0,1.0,0.5,80,0,0,0,0,5,0.0,0.0,nan,nan,0.0625,nan,nan,nan,nan,0.1,0.1,0.1,0.15
cfpb_online_recal1_seed0,CFPB,canonical_on,corr_mix,all_only,control,res_energy,1.0,1.0,0.5,80,0,0,0,0,17,0.0,0.0,nan,nan,0.2125,nan,nan,nan,nan,0.1,0.1,0.1,0.15
cfpb_online_recal1_seed0,CFPB,canonical_on,corr_mix,all_only,control,stale,1.0,1.0,0.5,80,60,9,5,5,17,0.75,0.1125,0.08333333333333333,0.08333333333333333,0.2125,0.16178160919540233,0.16178160919540233,0.0,0.8275862068965519,0.1,0.1,0.1,0.15
